,price,Style,Colour,Screen Size,Special Feature,Target Audience,Shape
180,1999.0,Modern,Blue,1.85 ,"bluetooth,Alarm clock","Unisex Teen, Unisex Adult",sqaure
181,1999.0,Modern,Jet Black,1.38 ,"bluetooth,Alarm clock","Unisex Teen, Unisex Adult",sqaure
182,1799.0,Strap,Green,1.69 ,"bluetooth,Alarm clock","Unisex Teen, Unisex Adult",sqaure
183,3499.0,Modern,Jet Black,1.69 ,Alarm Clock,"Unisex Teen, Unisex Adult",round
184,11472.784594095941,NoiseFit Agile 2 Buzz,Black,1.28 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
185,2499.0,Modern,Frozen Blue,1.69 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
186,1999.0,Modern,Jet Black,1.38 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
187,1799.0,Strap,Pink,1.69 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
188,1799.0,ColorFit Pulse 2,Grey,1.8 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
189,1799.0,Modern,Black,1.69 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
190,1299.0,ColorFit Pulse Grand,Black,1.69 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
191,1799.0,Strap,Grey,1.69 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
192,1799.0,Strap,Blue,1.69 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
193,1899.0,ColorFit Pulse,Jet Black,1.4 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
194,1999.0,ColorFit Pulse Grand,Pink,1.69 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
195,1999.0,Modern,Blue,1.85 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
196,3499.0,ColorFit Ultra 2 Buzz,Black,1.78 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
197,1999.0,ColorFit Pulse Buzz,Pink,1.69 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
198,1999.0,Modern,Black,1.85 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
199,1999.0,ColorFit Ultra Buzz,Black,1.75 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
200,1999.0,ColorFit Pulse Grand,Grey,1.69 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
201,11472.784594095941,NoiseFit Agile 2 Buzz,Black,1.28 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
202,1999.0,Modern,Blue,1.85 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
203,1999.0,Modern,Jet Black,1.38 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
204,1799.0,Strap,Pink,1.69 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
